,name,price,author,offer,org_price,review,review_given
112,Biography of Dr. Bhimrao Ambedkar,₹31,"Hindi, Paperback, RPH Editorial Board",11% off,₹35,4.4,(45)
113,A Room of One's Own,₹200,"English, Paperback, Woolf Virginia",20% off,₹250,4.4,(380)
114,A Tale Of Two Cities,₹162,"English, Hardcover, Dickens Charles",45% off,₹299,4.4,"(1,464)"
115,The Mammoth Book of the World's Greatest Chess Games,₹11,"English, Paperback, Burgess Graham",8% off,₹12,4.5,(14)
116,Roses in December,₹564,"English, Undefined, Chagla M C",22% off,₹730,4.5,(143)
117,Frankenstein,₹162,"English, Hardcover, Shelley Mary",45% off,₹299,4.5,"(2,315)"
118,Lok Maze Sangati,₹292,"Marathi, Paperback, Sharad Pawar",23% off,₹380,4.7,(132)
119,Swami Vivekanda: A Biography,₹108,Kaushal Goyal,32% off,₹160,4.5,(66)
120,Target 3 Billion,₹222,"English, Paperback, Kalam APJ Abdul",36% off,₹350,4.5,"(1,378)"
121,The Communist Manifesto,₹213,"English, Paperback, Marx Karl",28% off,₹299,4.4,"(1,382)"
122,Chanakya and the Art of War,₹149,"English, Paperback, Pillai Radhakrishnan",50% off,₹299,4.5,(169)
123,Warren Buffet,₹190,"Marathi, Paperback, Achyut Godbole,Atul Kahate",13% off,₹220,4.5,(168)
124,Poor Economics - WINNERS OF THE NOBEL PRIZE IN ECONOMIC...,₹293,"English, Paperback, Banerjee Abhijit",41% off,₹499,4.6,(897)
125,Rain In The Mountains,₹225,"English, Paperback, Bond Ruskin",24% off,₹299,4.5,(495)
126,The Complete Works of Swami Vivekananda (9 Vols Set),"₹2,025","English, Hardcover, Swami Vivekanand",19% off,"₹2,500",4.8,(43)
127,Coming Round the Mountain: In the Year of Independence,₹188,"English, Hardcover, Bond Ruskin",24% off,₹250,4.6,(111)
128,The Elephant Whisperer,₹351,"English, Paperback, Anthony Lawrence",29% off,₹499,4.8,(41)
129,Bill Gates: Success Secrets,₹149,"English, Paperback, unknown",17% off,₹180,4.3,(170)
130,71 Famous Scientists,₹189,"English, Paperback, unknown",24% off,₹250,4.2,(43)
131,"Mud, Sweat and Tears",₹404,"English, Paperback, Grylls Bear",19% off,₹499,4.6,(119)
132,The Autobiography of Malcolm X,₹259,"English, Paperback, X Malcolm",35% off,₹399,4.5,(104)
133,Super 30,₹150,"English, Paperback, Kumar Anand",24% off,₹199,4.4,(385)
134,Ek Hota Carver,₹226,"Marathi, Undefined, Gavankar Veena",9% off,₹250,4.6,(298)
135,Yugan Yugan Yogi (Sadhguru ki Mahayatra),₹179,"Hindi, Paperback, Sadhguru",28% off,₹250,4.7,(432)
136,Myth=mithya - A Handbook of Hindu Mythology,₹210,"English, Paperback, Pattanaik Devdutt",29% off,₹299,4.4,"(1,189)"
137,Inside Mahatma's Mind,₹131,,,,,
138,Persepolis I & II,₹369,"English, Paperback, Satrapi Marjane",38% off,₹599,4.7,(567)
139,Khaiye Aur Vajan Ghataiye,₹177,"Hindi, Paperback, Diwekar Rujuta",29% off,₹250,4.1,(387)
140,Sita,₹299,"English, Paperback, Pattanaik Devdutt",40% off,₹499,4.5,"(2,043)"
141,Kidnapped,₹198,"English, Paperback, Sarkar Arita",33% off,₹299,4.6,(25)
142,Gopalganj to Raisina Road - My Political Journey,₹213,"English, Hardcover, Yadav Lalu Prasad",57% off,₹500,4.6,(63)
143,Mark Zuckerberg: Success Secrets,₹110,"English, Paperback, unknown",26% off,₹150,4.4,(145)
144,Bharat Ka Veer Yoddha Maharana Pratap,₹154,"Hindi, Paperback, Sushil Kapoor",25% off,₹208,4.4,(152)
145,The Anatomy of a Sting,₹149,"English, Paperback, Patel Bhupen",50% off,₹299,4.8,(11)
146,Satya Ke Saath Mere Prayog - Ek Atmakathaa,₹136,"Hindi, Paperback, M. K. Gandhi",30% off,₹195,4.4,(256)
147,Kargil,₹196,"English, Paperback, Rawat Rachna Bisht",34% off,₹299,4.7,(611)
148,Breathe Believe Balance,₹227,"English, Paperback, Vallabhjee Shayamal",35% off,₹350,4.6,(14)
149,Agnipankh,₹207,"Marathi, Paperback, unknown",5% off,₹220,4.5,(231)
150,Everyday Ayurveda,₹204,"English, Paperback, Bhattacharya Bhaswati",31% off,₹299,4.3,(312)
151,My Experiments With Truth GANDHI–An Autobiography,₹139,"English, Paperback, M.K. Gandhi",28% off,₹195,4.2,(134)
152,My Experiments with Truth,₹223,"English, Paperback, Gandhi Mohandas K.",24% off,₹295,4.4,(356)
153,India Positive : New Essays and Selected Columns - Simp...,₹219,"English, Paperback, Bhagat Chetan",12% off,₹250,4.4,(797)
154,Warren Buffett,₹357,"Hindi, Hardcover, Dinkar Kumar",10% off,₹400,4.2,(474)
155,Warren Buffett,₹199,"Marathi, Paperback, Warren Buffet",45% off,₹364,4.5,(112)
156,Playing it My Way - My Autobiography,₹371,"Tamil, Paperback, Sachin Tendulkar, Boria Majumdar",25% off,₹495,4.6,(120)
157,Laurie Baker,₹303,"English, Paperback, Bhatia Gautam",24% off,₹399,4.5,(100)
158,On Love and Sex - Selected Writings,₹131,"English, Paperback, Singh Khushwant",32% off,₹195,4,(80)
159,Surely You're Joking Mr Feynman,₹387,"English, Paperback, Feynman Richard P.",35% off,₹599,4.7,"(1,393)"
